id,artist_all,artist_base,rank,song,year,artist_featured,song_clean,artist_clean,lyrics,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,duration_min,num_words,words_per_sec,num_uniq_words,uniq_ratio
889,x ambassadors,x ambassadors,67,unsteady,2016,,unsteady,x ambassadors,hold hold on hold on to me cause im a little unsteady a little unsteady hold hold on hold on to me cause im a little unsteady a little unsteady mama come here approach appear daddy im alone cause this house dont feel like home if you love me dont let go woah if you love me dont let go hold hold on hold on to me cause im a little unsteady a little unsteady hold hold on hold on to me cause im a little unsteady a little unsteady mother i know that youre tired of being alone dad i know youre trying to fight when you feel like flying but if you love me dont let go woah if you love me dont let go hold hold on hold on to me cause im a little unsteady a little unsteady hold hold on hold on to me cause im a little unsteady a little unsteady hold hold on hold on to me cause im a little unsteady a little unsteady,0.177,0.598,0.673,0,0.000316,9,0.203,-6.134,0,74,0.0469,117.02,4,0.255,3.225766667,172,0.888677627,42,4.095238095
890,desiigner,desiigner,98,tiimmy turner,2016,,tiimmy turner,desiigner,yeah yeah yeah yeah grrrrraaaah yeah yeah yeah yeah git git git git yeah yeah yeah yeah git git git git yeah yeah yeah yeah git git git git yeah yeah yeah yeah little timmy turner git git git git tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner tiimmy tiimmy tiimmy turner young boy walkin wishin for a burner four five six ten ratchets on em ten niggas with em ten clappin on em dead niggas with em dead niggas get em four five rip em four five zip em you talk money young niggas get em young niggas get em beluga beluga beluga i fell in love with the ruger i fell in love with my jeweler i fell in love with the mulah banana clips is going through ya its all about the rule its all about the move its all about the rules tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner tiimmy turner eh yeah he wish had a burner young nigga move and he kill with confirma you get hit nigga left with earner choppa move nigga both want it you get hit down in both summers i got niggas rollin dat would be dead with it choppa move nigga roll him with it you choke down roll load and get hit a nigga up reload the semi gotta flow over demon thinking all about tiimmy just the thought of them with me all my killas said they with me tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner,0.181,0.597,0.743,1,0,6,0.0796,-3.095,1,72,0.042,122.798,4,0.299,3.99755,710,2.960146423,112,6.339285714
891,dj snake  featuring  bipolar sunshine,dj snake,80,middle,2016,bipolar sunshine,middle,dj snake,starin at two different views on your window ledge coffee is going cold its like time froze there you go wishin floatin down our wishin well its like im always causin problems causin hell i didnt mean to put you through this i can tell we cannot sweep this under the carpet i hope that i can turn back the time to make it all alright all alright for us ill promise to build a new world for us two with you in the middle lyin down beside you whats goin through your head the silence in the air felt like my soul froze am i just overthinking feelings i conceal this gut feeling im tryna get off me as well i hope we find our missin pieces and just chill we cannot sweep it under the carpet i hope that i can turn back the time to make it all alright all alright for us ill promise to build a new world for us two with you in the middle 站在中间 有谁站在中间 站在中间 有谁站在中间,0.0203,0.586,0.701,0,0,1,0.055,-5.326,0,73,0.0416,104.957,4,0.254,3.676216667,175,0.79338813,93,1.88172043
892,zayn,zayn malik,22,pillowtalk,2016,,pillowtalk,zayn malik,climb on board well go slow and high tempo light and dark hold me hard and mellow im seeing the pain seeing the pleasure nobody but you body but me body but us bodies together i love to hold you close tonight and always i love to wake up next to you i love to hold you close tonight and always i love to wake up next to you so well piss off the neighbours in the place that feels the tears the place to lose your fears yeah reckless behavior a place that is so pure so dirty and raw in the bed all day bed all day bed all day fucking and fighting on its our paradise and its our war zone its our paradise and its our war zone pillow talk my enemy my ally prisoners then were free its a thin line im seeing the pain seeing the pleasure nobody but you body but me body but us bodies together i love to hold you close tonight and always i love to wake up next to you so well piss off the neighbours in the place that feels the tears the place to lose your fears yeah reckless behavior a place that is so pure so dirty and raw in the bed all day bed all day bed all day fucking and fighting on its our paradise and its our war zone its our paradise and its our war zone paradise paradise paradise paradise war zone war zone war zone war zone paradise paradise paradise paradise war zone war zone war zone war zone so well piss off the neighbours in the place that feels the tears the place to lose your fears yeah reckless behavior a place that is so pure so dirty and raw in the bed all day bed all day bed all day fucking and fighting on its our paradise and its our war zone its our paradise and its our war zone,0.117,0.584,0.7,1,0,11,0.0939,-4.275,1,77,0.0456,124.944,4,0.438,3.379116667,331,1.632576561,77,4.298701299
893,zara larsson  and  mnek,zara larsson,46,never forget you,2016,,never forget you,zara larsson,i used to be so happy but without you here i feel so low i watched you as you left but i can never seem to let you go cause once upon a time you were my everything its clear to see that time hasnt changed a thing its buried deep inside me but i feel theres somethin you should know i will never forget you you will always be by my side from the day that i met you i knew that i would love you til the day i die and i will never want much more and in my heart i will always be sure i will never forget you and you will always be by my side til the day i die til the day i die til the day i die til the day i die funny how we both end up here but everything seems so right i wonder what would happen if we went back and put up a fight cause once upon a time you were my everything its clear to see that time hasnt changed a thing so what in this world do you think could ever take you off my mind i will never forget you you will always be by my side from the day that i met you i knew that i would love you til the day i die and i will never want much more and in my heart i will always be sure i will never forget you and you will always be by my side til the day i die feelin it lovin it everything that we do and all along i knew i had somethin special with you but sometimes you just gotta know that these things fall through but im still tied and i cant hide my connection with you feelin it lovin it everything that we do and all along i knew i had something special with you but sometimes you just gotta know that these things fall through i cant hide my connection with you i will never forget you you will always be by my side from the day that i met you i knew that i would love you til the day i die and i will never want much more and in my heart i will always be sure i will never forget you and you will always be by my side til the day i die til the day i die til the day i die til the day i die til the day i die til the day i die til the day i die and you will always be by my side i will never forget you i will never never never never never never never never i will never forget you til the day i die,0.00312,0.583,0.732,0,9.86E-06,11,0.269,-5.728,0,76,0.0457,145.992,4,0.276,3.557133333,473,2.216204059,111,4.261261261
894,james bay,james bay,44,let it go,2016,,let it go,james bay,from walking home and talking loads to seeing shows in evening clothes with you from nervous touch and getting drunk to staying up and waking up with you now were sleeping near the edge holding something we dont need all this delusion in our heads is gonna bring us to our knees so come on let it go just let it be why dont you be you and ill be me everything thats broke leave it to the breeze why dont you be you and ill be me and ill be me from throwing clothes across the floor to teeth and claws and slamming doors at you if this is all were living for why are we doing it doing it doing it anymore i used to recognize myself its funny how reflections change when were becoming something else i think its time to walk away so come on let it go just let it be why dont you be you and ill be me everything thats broke leave it to the breeze why dont you be you and ill be me and ill be me tryna fit your hand inside of mine when we know it just dont belong cause no force on earth could make it feel right no no tryna push this problem up the hill when its just too heavy to hold i think nows the time to let it slide so come on let it go just let it be why dont you be you and ill be me everything thats broke leave it to the breeze let the ashes fall forget about me come on let it go just let it be why dont you be you and ill be me and ill be me,0.804,0.568,0.293,0,1.26E-05,1,0.107,-10.253,1,75,0.0313,147.175,4,0.247,4.342216667,291,1.11694104,117,2.487179487
895,coldplay,coldplay,73,hymn for the weekend,2016,,hymn for the weekend,coldplay,and said drink from me drink from me that we shoot across the sky symphony that we shoot across the sky pour on a drink from me drink from me that we shoot across the sky symphony that we shoot across the sky oh angel sent from up above you know you make my world light up when i was down when i was hurt you came to lift me up life is a drink and loves a drug oh now i think i must be miles up when i was a river dried up you came to rain a flood you said drink from me drink from me when i was so thirsty poured on a symphony now i just cant get enough put your wings on me wings on me when i was so heavy poured on symphony when im low low low low i oh i oh i got me feeling drunk and high so high so high oh i oh i oh i now i m feeling drunk and high so high so high oh angel sent from up above i feel you coursing through my blood life is a drink and your loves about to make the stars come out put your wings on me wings on me when i was so heavy poured on symphony when im low low low low i oh i oh i got me feeling drunk and high so high so high oh i oh i oh i i m feeling drunk and high so high so high i oh i oh i la la la la la la la so high so high i oh i oh i now im feeling drunk and high so high so high that i shoot across the sky that i shoot across the that i shoot across the sky let me shoot across the let me shoot across the sky let me shoot across the let me shoot across the sky that we shoot across the,0.00868,0.565,0.849,0,4.68E-06,0,0.12,-3.516,0,78,0.0517,102.034,4,0.427,3.544116667,333,1.565975537,75,4.44
896,beyoncé,beyoncé,71,sorry,2016,,sorry,beyonce,sorry i aint sorry sorry i aint sorry i aint sorry nigga nah sorry i aint sorry sorry i aint sorry i aint sorry he trying to roll me up i aint picking up headed to the club i aint thinking bout you me and my ladies sip my dussé cup i dont give a fuck chucking my deuces up suck on my balls pause i had enough i aint thinking bout you i aint thinking bout middle fingers up put them hands high wave it in his face tell him boy bye tell him boy bye boy bye middle fingers up i aint thinking bout you sorry i aint sorry sorry i aint sorry i aint sorry nigga nah i aint thinking bout you sorry i aint sorry sorry i aint sorry i aint sorry no no hell nah now you want to say youre sorry now you want to call me crying now you gotta see me wilding now im the one thats lying and i dont feel bad about it its exactly what you get stop interrupting my grinding i aint thinking bout you sorry i aint sorry i aint thinking bout you i aint thinking bout you sorry i aint sorry i aint thinking bout you i aint thinking bout you middle fingers up put them hands high wave it in his face tell him boy bye tell him boy bye boy bye middle fingers up i aint thinking bout you sorry i aint sorry sorry i aint sorry i aint sorry nigga nah sorry i aint sorry sorry i aint sorry i aint sorry no no hell nah looking at my watch he shoulda been home today i regret the night i put that ring on he always got them fucking excuses i pray to the lord you reveal what his truth is i left a note in the hallway by the time you read it ill be far away im far away but i aint fucking with nobody lets have a toast to the good life suicide before you see this tear fall down my eyes me and my baby we gon be alright we gon live a good life big homie better grow up me and my whoadies bout to stroll up i see them boppers in the corner they sneaking out the back door he only want me when im not there he better call becky with the good hair he better call becky with the good hair,0.942,0.536,0.11,0,0.00106,11,0.1,-17.493,0,31,0.0482,129.935,4,0.169,2.990583333,416,2.318388274,145,2.868965517
897,"fat joe ,  remy ma  and  jay z  featuring  french montana  and infared",fat joe,87,all the way up,2016,french montana  and infared,all the way up,fat joe,nothin can stop me im all the way up all the way up im all the way up im all the way up nothin can stop me im all the way up shorty what you want shorty what you need my niggas run the game we aint ever leavin countin up this money we aint never sleepin you got v12 i got 12 vs got bottles got weed got molly shorty what you want i got what you need shorty what you want i got what you need shorty what you want i got what you need im all the way up im all the way up im all the way up all the way up nothin can stop me im all the way up for my niggas with bentley coupes and rolexes kicked the bitch out the room and gave her no breakfast had to stash the jewels these bitches so reckless keep my hoes on cruise im talkin naughty nothings shorty uptown showin off her new things couldnt take it all so i gave her un chin she call me top shotta yeah i keep a few tings champion sound yeah i got a few rings and im all the way up and you can stay up and if you ask anybody where i live theyll point to the hills and say go all the way up go all the way up im all the way up im all the way up nothin can stop me im all the way up just left the big house to a bigger house aint have a girlfriend but the bitch is out chanel croc bag shit aint even out with the gold chains himalayan birkin cocaine lit it up pac shit i hit em up im talkin color money purple yen and blue dirham i got brown lira i aint talkin bout ross bitch im that nigga on viagra dick that means im all the way up and you can stay up p o s say i cant get high hopped in the helicopter uber and said go all the way up go all the way up im all the way up im all the way up nothin can stop me im all the way up shorty what you want shorty what you need my niggas run the game we aint ever leavin countin up this money we aint never sleepin you got v12 i got 12 vs got bottles got weed got molly shorty what you want i got what you need shorty what you want i got what you need shorty what you want i got what you need im all the way up im all the way up im all the way up im all the way up nothin can stop me im all the way up all the way up im all the way up im all the way up nothin can stop me im all the way up,0.062,0.536,0.721,1,0,10,0.824,-6.44,0,72,0.386,117.139,5,0.393,3.199033333,492,2.563274322,144,3.416666667
898,the chainsmokers  featuring  daya,the chainsmokers,8,don't let me down,2016,daya,dont let me down,the chainsmokers,crashing hit a wall right now i need a miracle hurry up now i need a miracle stranded reaching out i call your name but youre not around i say your name but youre not around i need you i need you i need you right now yeah i need you right now so dont let me dont let me dont let me down i think im losing my mind now its in my head darling i hope that youll be here when i need you the most so dont let me dont let me dont let me down d dont let me down dont let me down dont let me down down down dont let me down dont let me down down down r r running out of time i really thought you were on my side but now theres nobody by my side i need you i need you i need you right now yeah i need you right now so dont let me dont let me dont let me down i think im losing my mind now its in my head darling i hope that youll be here when i need you the most so dont let me dont let me dont let me down d dont let me down dont let me down dont let me down down down dont let me down dont let me down down down dont let me down down down dont let me down dont let me down down down ooh i think im losing my mind now yeah ooh i think im losing my mind now yeah i need you i need you i need you right now yeah i need you right now so dont let me dont let me dont let me down i think im losing my mind now its in my head darling i hope that youll be here when i need you the most so dont let me dont let me dont let me down dont let me down yeah dont let me down yeah dont let me down dont let me down oh no say dont let me down dont let me down no o dont let me down dont let me down down,0.157,0.532,0.869,0,0.00508,11,0.136,-5.094,1,83,0.172,159.803,4,0.422,3.472883333,370,1.775661914,63,5.873015873
899,bryson tiller,bryson tiller,53,exchange,2016,,exchange,bryson tiller,this what happen when i think bout you i get in my feelings yeah i start reminiscing yeah next time around fuck i want it to be different yeah waiting on a sign guess its time for a different prayer lord please save her for me do this one favor for me i had to change my player ways got way too complicated for me i hope shes waiting for me everywhere she go they playin my song thats why i say the things that i say that way i know you cant ignore me but so so so give me all of you in exchange for me just give me all of you in exchange for me for me break it down yeah yes sir check we used to lay up and then stay up have sex and then blow dank i shouldnt have played no games with you just leveled up my rank last time i saw you we aint speak that was strange guess its nothing i can do man its true exes change yeah aye guess you changed for the better i know you know how to make me jealous i was never loyal let you tell it yo but im ready to fix it if you ready baby but so so so give me all of you in exchange for me just give me all of you in exchange for me for me for real shawty you already know yeah is you at two keys or tin roof turn up with young tiller we just gettin loose maybe im lowkey feelin you dont be cynical won t fuck you over wanna fuck you over and again the truth is i aint really here to start problems girl i swear to god them hoes cant never say they got him know how bad you wanna tell em dont try him i dont wanna tell em lets surprise em i dont wanna get into it why you stressin him ive been drivin back and forth from louisville to lexington mileage on the whip got your ass in my grip college make you wanna strip for them dollars nah girl i got a job for you swear to god i can do a lot for you saw you strollin through the campus i had to stop for you i was scrollin through the gram girl i had to follow you say whats up with you you got my soul,0.108,0.53,0.433,1,0,6,0.135,-10.598,1,80,0.185,160.14,4,0.274,3.24355,411,2.111883584,192,2.140625
900,florida georgia line,florida georgia line,49,h.o.l.y.,2016,,holy,florida georgia line,when the sun had left and the winter came and the sky fall to only bring the rain i sat in darkness all broken hearted i couldnt find a day i didnt feel alone i never meant to cry started losin hope but somehow baby you broke through and saved me youre an angel tell me youre never leavin cause youre the first thing i know i can believe in youre holy holy holy holy im high on lovin you high on lovin you youre holy holy holy holy im high on lovin you high on lovin you you made the brightest days from the darkest nights youre the river bank where i was baptized cleansed from the demons that were killin my freedom let me lay you down give me to ya get you singin babe hallelujah well be touchin well be touchin heaven youre an angel tell me youre never leavin cause youre the first thing i know i can believe in youre holy holy holy holy im high on lovin you high on lovin you youre holy holy holy holy im high on lovin you high on lovin you i dont need the stars cause you shine for me like fire in my veins youre my ecstasy youre my ecstasy youre holy holy holy holy im high on lovin you high on lovin you youre holy holy holy holy im high on lovin you high on lovin you youre the healin hands where it used to hurt youre my savin grace youre my kind of church youre holy,0.385,0.525,0.685,0,0,7,0.0731,-3.954,0,77,0.0351,78.003,4,0.54,3.23645,261,1.344065257,108,2.416666667
901,"lil wayne ,  wiz khalifa  and  imagine dragons  with  logic  and  ty dolla $ign  featuring  x ambassadors",lil wayne,68,sucker for pain,2016,x ambassadors,sucker for pain,lil wayne,i torture you take my hand through the flames i torture you im a slave to your games i wanna chain you up i wanna tie you down oooohh im just a sucker for pain dolla ign im a sucker for pain i got the squad tatted on me from my neck to my ankles pressure from the man got us all in rebellion we gon go to war yeah without failure do it for the fam dog ten toes down dog love and the loyalty thats what we stand for alienated by society all this pressure give me anxiety walk slow through the fire like who gon try us feeling the world go against us so we put the world on our shoulders i torture you take my hand through the flames i torture you im a slave to your games i wanna chain you up i wanna tie you down oooohh im just a sucker for pain i been at it with my homies it dont matter you dont know me i been rollin with my team we the illest on the scene i been riding round the city with my squad i been riding round the city with my squad we just posted getting crazy living like this is so amazing hold up take a step back when we roll up cause i know what we been loyal we been fam we the ones you trust in wont hesitate to go straight to your head like a concussion i know i been bussin no discussion for my family no hesitation through my scope i see my enemy like whats up hold up we finna re load up yes i re load up i know what up i know what up i torture you take my hand through the flames i torture you im a slave to your games i wanna chain you up i wanna tie you down oooohh im just a sucker for pain uhh devoted to destruction a full dosage of detrimental dysfunction im dying slow but the devil tryna rush me see im a fool for pain im a dummy might cut my head off right after i slit my throat tongue kiss a shark got jealous bitches up in the boat eating peanut butter and jelly fishes on toast and if i get stung i get stoked might choke like i chewed a chunk of charcoal naked in the north pole thats why my heart cold full of sorrow the lost soul and only lord knows when im coming to the crossroads so i dont fear shit but tomorrow and im a sucker for pain it aint nuttin but pain you just fuckin complain you aint tough as you claim just stay up in your lane just dont fuck with lil wayne ima jump from my plane or stand in front of a train cause im a sucker for pain used to doing bad now we feel like we just now getting it aint got no other way so we start it and finish it no pain no gain never stand down made our own way never going slow we pick up the pace this is what we wanted from a young age no emotion thats what business is lord have mercy on the witnesses i torture you take my hand through the flames i torture you im just a sucker for pain more pain got me beggin beggin beggin beggin beggin beggin for more pain got me beggin beggin beggin beggin beggin beggin for more pain got me beggin beggin beggin beggin beggin beggin for more pain got me beggin,0.255,0.502,0.786,1,0,9,0.65,-4.378,0,80,0.317,169.021,4,0.739,4.058183333,608,2.49701221,229,2.655021834
902,gnash  featuring  olivia o'brien,gnash,38,"i hate u, i love u",2016,olivia o'brien,i hate u i love u,gnash,feeling used but im still missing you and i cant see the end of this just wanna feel your kiss against my lips and now all this time is passing by but i still cant seem to tell you why it hurts me every time i see you realize how much i need you i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her i miss you when i cant sleep or right after coffee or right when i cant eat i miss you in my front seat still got sand in my sweaters from nights we dont remember do you miss me like i miss you fucked around and got attached to you friends can break your heart too and im always tired but never of you if i pulled a you on you you wouldnt like that shit i put this reel out but you wouldnt bite that shit i type a text but then i never mind that shit i got these feelings but you never mind that shit oh oh keep it on the low youre still in love with me but your friends dont know if you wanted me you would just say so and if i were you i would never let me go i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her i dont mean no harm i just miss you on my arm wedding bells were just alarms caution tape around my heart you ever wonder what we could have been you said you wouldnt and you fucking did lie to me lie with me get your fucking fix now all my drinks and all my feelings are all fucking mixed always missing people that i shouldnt be missing sometimes you gotta burn some bridges just to create some distance i know that i control my thoughts and i should stop reminiscing but i learned from my dad that its good to have feelings when love and trust are gone i guess this is moving on everyone i do right does me wrong so every lonely night i sing this song i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her all alone i watch you watch her like shes the only girl youve ever seen you dont care you never did you dont give a damn about me yeah all alone i watch you watch her she is the only thing youve ever seen how is it you never notice that you are slowly killing me i hate you i love you i hate that i love you dont want to but i cant put nobody else above you i hate you i love you i hate that i want you you want her you need her and ill never be her,0.687,0.492,0.275,1,0,6,0.101,-13.4,0,82,0.3,92.6,4,0.18,4.1839,570,2.270608762,182,3.131868132
903,tory lanez,tory lanez,70,luv,2016,,luv,tory lanez,we ah sip the henny for the day baby bad man we no stray baby oops i done fell for your way baby i know girl but everyone falls and i know from the first time the first time i seen your love you got me baby even though girl i know that i will fall for you you got to know that everyone falls oops i done fell so deep baby oops i want you for me baby oops i want you for me baby oops i done fell so deep cause everyone falls in love sometimes i dont know bout you but it aint a crime neefi let me love you love you love you for long time baby neefi let me touch you neefi let me love you til the morning oh mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me touch you mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me love you we ah sip that henny for the day baby come my my way baby top down on the highway baby and if you let me love you wait shawty she aint even got a visa out of town one night teaser need to tell them other niggas ease up im falling but everyone falls and i know from the first time the first time i seen your love you got me baby even though girl i know that i will fall for you you got to know that everyone falls oops i done fell too deep baby oops i think you got me baby oops i want you for me baby im fallin but everyone falls in love sometimes i dont know bout you but it aint a crime neefi let me love you love you love you for long time baby neefi let me touch you neefi let me love you til the morning oh mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me touch you mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm and if you want me and if you let me love you now its true what i need is someone for love me right now its true im a freak its time to love you now and if you want me im falling everyone falls in love sometimes i dont know bout you but it aint a crime neefi let me love you love you love you for long time baby neefi let me touch you neefi let me love you til the morning oh mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me touch you mmm ah mmm ah mmm if you let me love you mmm ah mmm ah mmm if you let me love you yeah,0.0129,0.487,0.532,1,0,11,0.123,-8.129,0,68,0.245,138.13,3,0.243,3.810666667,503,2.19996501,96,5.239583333
904,kent jones,kent jones,48,don't mind,2016,,dont mind,kent jones,hola holana keep telling me this and telling me that you said once you take me with you i ll never go back now i got a lesson that i want to teach ima show you that where you from don t matter to me she said hola cómo estás she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola cómo estás she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all african american for sho i told her baby come and ride the rodeo every time i come around man i go for broke she gives me desktop til i overload now baby you gon go where you pos to go cause i aint got time for you every day she said she got a man keep it on the low i said he don t speak english fuck he gon say telling me this and telling me that you said once you take me with you i ll never go back now i got a lesson that i want to teach ya ima show you that where you from don t matter to me she said hola cómo estás she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola cómo estás she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she from africa but she fucks me like she haitian ass black but the eyes looking asian i give her the can in kansas i got it on tape she on candid camera okay see i forgot we met in oklahoma i use to smoke regina she from arizona then i met a girl in cali i never disowned her she got that high grade her weed come with diplomas i want her but she keep telling me this and telling me that you said once you take me with you i ll never go back now i got a lesson that i want to teach ya ima show you that where you from don t matter to me she said hola cómo estás she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola cómo estás she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola cómo estás she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all she said hola cómo estás she said konnichiwa she said pardon my french i said bonjour madame then she said sak pase and i said nap boule no matter where i go you know i love em all,0.0235,0.464,0.771,1,0,8,0.063,-4.503,1,70,0.336,158.777,4,0.69,3.30395,582,2.93587978,119,4.890756303
905,flume  featuring  kai,flume,60,never be like you,2016,kai,never be like you,flume,what i would do to take away this fear of being loved allegiance to the pain now im fucked up and im missing you hell never be like you i would give anything to change this fickle minded heart that loves fake shiny things now im fucked up and im missing you hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it ooh hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it ooh hell never be like you how do i make you wanna stay hate sleeping on my own missing the way you taste now im fucked up and im missing you hell never be like you stop looking at me with those eyes like i could disappear and you wouldnt care why now im fucked up and im missing you hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it ooh hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it ooh hell never be like you im falling on my knees forgive me im a fucking fool im begging darling please absolve me of my sins wont you im falling on my knees forgive me im a fucking fool im begging darling please absolve me of my sins wont you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it ooh hell never be like you im only human cant you see i made i made a mistake please just look me in my face tell me everythings okay cause i got it ooh hell never be like you baby baby please believe me cmon take it easy please dont ever leave me ooh hell never be like you,0.453,0.444,0.557,1,0,0,0.152,-5.476,1,70,0.0602,115.058,4,0.296,3.915166667,378,1.6091269,96,3.9375
906,tory lanez,tory lanez,74,say it,2016,,say it,tory lanez,just keepin it honest you wouldnt want a young nigga if i wasnt whippin this foreign thats why i came back top down you gon have to do less when you always want you to you gon have to do less when you so you gon need to more than just and you know you know and you know in this foreign car let it go and you know you know and you know in this foreign car let you know how you know that i want you and you want me but i now know you know i know that this aint right cause you want me cause i got dough ever since you walked in inside my foreign slam my door you know i know that you been on it but i been on it on the low so let a young nigga get down on it yeah love when you spin round on it yeah even though a young nigga want you shawty i promise the truth and when i come down on it yeah you love when im down on it yeah fuck around spend time on it yeah thats why i came back top down you gon have to do less when you always want you to you gon have to do less when you so you gon need to more than just and you know you know and you know in this foreign car let it go and you know you know and you know in this foreign car let you know gots to break it down for you to let you know you know it s things you know i m down for aint gon act like you aint bout my dough you know i know but girl you know im down for take your time to find you out wont hesitate to take the time to waste no baby bringin out the foreign out to play you know it s things it takes so let a young nigga get down on it yeah love when you spin round on it yeah even though a young nigga want you shawty i promise the truth and when i come down on it yeah you love when im down on it yeah fuck around spend time on it yeah thats why i came back top down you gon have to do less when you always want you to you gon have to do less when you so you gon need to more than just and you know you know and you know in this foreign car let it go and you know you know and you know in this foreign car let you know say it baby do it baby show it baby prove it baby say it baby do it baby show it baby prove it baby all im tryin to say i just wanna see your body move in different ways all i wanna do is come close to you you make me come through i get so close to you,0.0798,0.384,0.512,1,1.19E-05,4,0.129,-10.545,0,72,0.0753,107.241,4,0.234,3.963116667,508,2.136365739,113,4.495575221
907,adele,adele,83,when we were young,2016,,when we were young,adele,everybody loves the things you do from the way you talk to the way you move everybody here is watching you cause you feel like home youre like a dream come true but if by chance youre here alone can i have a moment before i go cause ive been by myself all night long hoping youre someone i used to know you look like a movie you sound like a song my god this reminds me of when we were young let me photograph you in this light in case it is the last time that we might be exactly like we were before we realised we were sad of getting old it made us restless it was just like a movie it was just like a song i was so scared to face my fears cause nobody told me that youd be here and i swear youd moved overseas thats what you said when you left me you still look like a movie you still sound like a song my god this reminds me of when we were young let me photograph you in this light in case it is the last time that we might be exactly like we were before we realised we were sad of getting old it made us restless it was just like a movie it was just like a song its hard to admit that everything just takes me back to when you were there to when you were there and a part of me keeps holding on just in case it hasnt gone cause i guess i still care do you still care it was just like a movie it was just like a song my god this reminds me of when we were young let me photograph you in this light in case it is the last time that we might be exactly like we were before we realised we were sad of getting old it made us restless oh im so mad im getting old it makes me reckless it was just like a movie it was just like a song when we were young,0.348,0.381,0.594,0,0,3,0.0925,-5.97,1,72,0.0486,143.86,4,0.273,4.84845,356,1.223758796,115,3.095652174
